"Name","Context","Quote"  
"Arnold Schwarzenegger","Motivation","Strength does not come from winning. Your struggles develop your strengths. When you go through hardships and decide not to surrender, that is strength."  
"Arnold Schwarzenegger","Success","Just remember, you can't climb the ladder of success with your hands in your pockets."  
"Arnold Schwarzenegger","Belief","The mind is the limit. As long as the mind can envision the fact that you can do something, you can do it, as long as you really believe 100 percent."  
"Arnold Schwarzenegger","Life Philosophy","For me life is continuously being hungry. The meaning of life is not simply to exist, to survive, but to move ahead, to go up, to achieve, to conquer."  
"Arnold Schwarzenegger","Humor","Milk is for babies. When you grow up you have to drink beer."  
"Arnold Schwarzenegger","Individuality","The worst thing I can be is the same as everybody else. I hate that."  
"Arnold Schwarzenegger","Character Building","The resistance that you fight physically in the gym and the resistance that you fight in life can only build a strong character."  
"Arnold Schwarzenegger","Health","It's simple, if it jiggles, it's fat."  
"Arnold Schwarzenegger","Wealth","Money doesn't make you happy. I now have $50 million but I was just as happy when I had $48 million."  
"Arnold Schwarzenegger","Service","Help others and give something back. I guarantee you will discover that while public service improves the lives and the world around you, its greatest reward is the enrichment and new meaning it will bring your own life."  
"Arnold Schwarzenegger","Misunderstanding","I think that gay marriage should be between a man and a woman."  
"Arnold Schwarzenegger","Personal Life","I had this child, and it destroyed my family."  
"Arnold Schwarzenegger","Determination","Failure is not an option. Everyone has to succeed."  
"Arnold Schwarzenegger","Humor","I saw a woman wearing a sweatshirt with Guess on it. I said, Thyroid problem?"  
"Arnold Schwarzenegger","Perseverance","Learned helplessness is the giving-up reaction, the quitting response that follows from the belief that whatever you do doesn't matter."  
"Arnold Schwarzenegger","Future Vision","The future is green energy, sustainability, renewable energy."  
"Arnold Schwarzenegger","Loss","I don't suffer of anything that I've lost."  
"Arnold Schwarzenegger","Self-awareness","I'm not perfect."  
"Arnold Schwarzenegger","Political Commentary","One of my movies was called 'True Lies.' It's what the Democrats should have called their convention."  
"Arnold Schwarzenegger","Political Courage","Political courage is not political suicide."  
"Arnold Schwarzenegger","Professionalism","You can scream at me, call me for a shoot at midnight, keep me waiting for hours - as long as what ends up on the screen is perfect."  
"Arnold Schwarzenegger","Body Positivity","I know a lot of athletes and models are written off as just bodies. I never felt used for my body."  
"Arnold Schwarzenegger","Iconic Movie Line","I'll be back."
