"Name","Context","Quote"
"Steve Jobs","Introducing the iPhone","Every once in a while, a revolutionary product comes along that changes everything."
"Steve Jobs","Innovation","Innovation distinguishes between a leader and a follower."
"Steve Jobs","Values and work","Your work is going to fill a large part of your life, and the only way to be truly satisfied is to do what you believe is great work."
"Steve Jobs","Life philosophy","Remembering that you are going to die is the best way I know to avoid the trap of thinking you have something to lose."
"Steve Jobs","Vision for Apple","We’re here to put a dent in the universe. Otherwise why else even be here?"
"Steve Jobs","Looking at the future","You can’t connect the dots looking forward; you can only connect them looking backwards."
"Steve Jobs","Customer needs","People don't know what they want until you show it to them."
"Steve Jobs","Design philosophy","Design is not just what it looks like and feels like. Design is how it works."
"Steve Jobs","Speaking about his business approach","Innovation is the ability to see change as an opportunity - not a threat."
"Steve Jobs","Regarding his perspective on life","Your work is going to fill a large part of your life, and the only way to be truly satisfied is to do what you believe is great work."
"Steve Jobs","Discussing product development","You‘ve got to start with the customer experience and work back toward the technology - not the other way around."
"Steve Jobs","Encouraging forward thinking","I'm as proud of many of the things we haven't done as the things we have done. Innovation is saying no to a thousand things."
"Steve Jobs","Discussing motivation","Stay hungry, stay foolish."
"Steve Jobs","His perspective on time","My favorite things in life don't cost any money. It's really clear that the most precious resource we all have is time."
"Steve Jobs","At Stanford commencement address 2005","Don’t let the noise of others’ opinions drown out your own inner voice."
"Steve Jobs","On making a difference","We're here to put a dent in the universe. Otherwise why else even be here?"
"Steve Jobs","Talking about passion","The only way to do great work is to love what you do."
"Steve Jobs","On dealing with setbacks","I didn’t see it then, but it turned out that getting fired from Apple was the best thing that could have ever happened to me."
"Steve Jobs","On quality and craftsmanship","Be a yardstick of quality. Some people aren't used to an environment where excellence is expected."
"Steve Jobs","On creativity and innovation","Creativity is just connecting things."
"Steve Jobs","On being different","Here's to the crazy ones, the misfits, the rebels, the troublemakers, the round pegs in the square holes... the ones who see things differently."
"Steve Jobs","On product design","Simple can be harder than complex: You have to work hard to get your thinking clean to make it simple."
"Steve Jobs","On making an impact","I want to put a ding in the universe."
"Steve Jobs","On having a vision","If you are working on something that you really care about, you don’t have to be pushed. The vision pulls you."
"Steve Jobs","Speaking about intuition","Have the courage to follow your heart and intuition. They somehow already know what you truly want to become."
"Steve Jobs","Discussing change","The people who are crazy enough to think they can change the world are the ones who do."
"Steve Jobs","Discussing technology","What a computer is to me is the most remarkable tool that we have ever come up with. It's the equivalent of a bicycle for our minds."
"Steve Jobs","On innovation","Innovation comes from people meeting up in the hallways or calling each other at 10:30 at night with a new idea, or because they realized something that shoots holes in how we’ve been thinking about a problem."
"Steve Jobs","On trust in the future","You can't connect the dots looking forward; you can only connect them looking backwards."
"Steve Jobs","On the nature of life","Life is what happens when you're busy making other plans."
"Steve Jobs","On decision-making","Remembering that you are going to die is the best way I know to avoid the trap of thinking you have something to lose."
"Steve Jobs","On perseverance","I'm convinced that about half of what separates the successful entrepreneurs from the non-successful ones is pure perseverance."
"Steve Jobs","On technology and human needs","It's not a faith in technology. It's faith in people."
"Steve Jobs","On innovation","Innovation distinguishes between a leader and a follower."
"Steve Jobs","On focus","That's been one of my mantras—focus and simplicity. Simple can be harder than complex."
"Steve Jobs","On design","Design is not just what it looks like and feels like. Design is how it works."
"Steve Jobs","On the impact of death","No one wants to die. Even people who want to go to heaven don’t want to die to get there."
"Steve Jobs","On doing meaningful work","The only way to do great work is to love what you do."
"Steve Jobs","On standing out","Why join the navy if you can be a pirate?"
"Steve Jobs","On changing the world","We're here to put a dent in the universe."
"Steve Jobs","On innovation","Sometimes when you innovate, you make mistakes. It is best to admit them quickly, and get on with improving your other innovations."
"Steve Jobs","On quality","Quality is more important than quantity. One home run is much better than two doubles."
"Steve Jobs","On creativity","Creativity is just connecting things."
"Steve Jobs","On life's setbacks","Getting fired from Apple was the best thing that could have happened to me. The heaviness of being successful was replaced by the lightness of being a beginner again."
"Steve Jobs","On consumer needs","Our job is to figure out what they're going to want before they do."
"Steve Jobs","On what motivates us","The people who are doing the work are the moving force behind the Macintosh. My job is to create a space for them, to clear out the rest of the organization and keep it at bay."
"Steve Jobs","On design philosophy","We made the buttons on the screen look so good you'll want to lick them."
"Steve Jobs","On following your heart","Have the courage to follow your heart and intuition. They somehow already know what you truly want to become."
